LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
42.8164,-78.0988,360241,1,15,4,1
40.7656,-73.0151,360242,1,3,4,1
40.8729,-72.9859,360243,1,20,4,1
43.0557,-76.5533,360244,1,13,5,1
40.8159,-73.0250,360245,2,21,4,1
99.9999,999.9999,360246,1,1,4,1
41.1903,-74.1813,360247,2,30,4,1
41.7016,-74.4096,360248,2,3,5,3
41.6373,-74.1364,360249,1,10,5,1
43.0666,-76.1647,360250,1,7,3,1
42.8954,-73.7812,360251,2,11,5,1
42.1574,-73.8725,360252,4,11,5,1
40.7642,-73.9709,360253,1,9,5,1
43.0921,-78.9617,360254,1,28,1,1
40.6582,-73.8893,360255,2,1,5,1
43.1810,-76.8210,360256,2,6,5,1
41.7421,-73.9642,360257,3,4,5,1
40.8271,-73.8701,360258,1,13,5,1
40.6735,-73.8073,360259,1,16,4,1
44.0825,-75.8034,360260,2,15,4,1
99.9999,999.9999,360261,2,14,5,1
41.7109,-75.0482,360262,1,16,5,2
42.2625,-73.9355,360263,2,14,1,1
43.2497,-77.4856,360264,1,16,5,2
40.7983,-73.6639,360265,1,15,5,1
42.6801,-73.8406,360266,1,22,5,1
42.7001,-73.7420,360267,2,22,1,1
40.7608,-73.9983,360268,2,15,5,1
40.8045,-73.9626,360269,1,20,5,1
40.5463,-74.1413,360270,3,10,5,1
40.5935,-73.9967,360271,1,21,5,1
40.6453,-73.9020,360272,1,22,5,1
99.9999,999.9999,360273,1,11,4,2
40.7249,-73.5222,360274,1,23,5,1
40.7977,-73.9291,360275,1,24,5,1
41.2283,-73.8074,360276,1,11,5,1
42.2574,-73.8817,360277,2,23,5,1
42.8884,-78.8881,360278,2,23,5,1
42.3087,-75.3701,360279,1,20,5,1
40.6522,-73.8662,360280,1,25,5,1
40.9090,-72.6852,360281,1,23,5,1
40.6745,-73.7893,360282,1,25,5,1
40.6357,-73.6542,360283,1,24,5,1
41.1693,-73.9778,360284,1,9,5,1
40.6828,-73.5919,360285,1,26,5,1
40.6040,-74.1726,360286,2,26,5,1
43.1295,-76.1336,360287,2,12,5,1
42.4255,-75.6319,360288,1,7,5,1
40.6663,-73.8105,360289,3,26,5,1
42.8694,-75.0351,360290,1,16,4,1
40.6783,-73.9112,360291,1,26,5,1
42.9043,-78.8344,360292,1,10,5,1
42.9139,-74.9315,360293,2,23,5,2
99.9999,999.9999,360294,1,21,5,1
42.3881,-76.5537,360295,1,24,5,1
43.4149,-73.2762,360296,2,26,5,1
40.8077,-73.9375,360297,1,27,5,1
42.6276,-78.5806,360298,2,28,5,1
43.1962,-77.5791,360299,2,5,5,1
42.8957,-78.8234,360300,1,29,5,1
40.7630,-73.5596,360301,1,30,5,1
42.4484,-78.6997,360302,2,30,3,1
99.9999,999.9999,360303,1,29,5,1
40.8253,-73.9176,360304,1,30,5,1
41.5269,-74.5451,360305,2,20,1,1
41.2836,-73.8195,360306,1,26,2,1
99.9999,999.9999,360307,1,30,5,1
42.1773,-73.8538,360308,2,12,5,1
41.0402,-73.8380,360309,2,31,5,1
43.5377,-73.4095,360310,2,1,6,1
42.8693,-78.8312,360311,1,15,5,1
42.5237,-76.9195,360312,2,3,6,1
40.6717,-73.9519,360313,11,2,6,1
40.6419,-73.8988,360314,2,3,6,1
40.7149,-73.8123,360315,1,4,6,1
40.8526,-73.8276,360316,2,4,6,1
42.7407,-74.4446,360317,1,6,6,1
40.7608,-73.9296,360318,1,11,5,1
41.9914,-75.1284,360319,1,5,5,1
43.0035,-77.3535,360320,1,6,6,1
43.0743,-77.6254,360321,2,6,6,1
40.7985,-73.6632,360322,2,27,4,1
40.6063,-74.0829,360325,1,8,6,1
42.8208,-76.8803,360326,2,10,6,1
42.0951,-79.3699,360327,2,11,6,1
40.9238,-73.8149,360328,1,12,6,1
40.7890,-73.4954,360329,2,12,6,1
43.4084,-73.5578,360330,2,11,6,1
40.7289,-73.4104,360331,1,13,6,2
40.7583,-73.6348,360332,1,13,6,1
99.9999,999.9999,360333,1,15,6,1
42.7675,-77.2078,360334,2,13,6,1
43.0702,-73.8024,360335,1,6,6,1
40.6830,-73.7258,360336,1,14,6,1
42.9153,-74.6070,360337,2,13,5,1
40.7619,-73.3287,360338,1,25,4,1
40.8182,-73.0625,360339,1,1,5,1
40.9118,-73.0382,360340,1,2,5,1
40.6982,-73.3903,360341,2,2,5,1
40.7172,-73.4002,360342,1,8,5,1
40.7205,-73.1916,360343,1,11,5,1
40.8739,-73.2791,360344,1,11,5,1
40.7913,-73.3006,360345,2,12,5,1
40.7513,-73.2630,360346,1,12,5,1
40.8247,-73.4122,360347,2,15,5,1
40.8630,-72.9418,360348,1,28,5,1
41.5208,-73.5912,360349,2,29,4,1
42.2466,-75.8143,360350,2,28,5,2
40.8583,-73.0860,360351,2,21,4,1
40.7589,-73.2097,360352,2,24,3,1
99.9999,999.9999,360353,3,13,5,1
42.3910,-76.5619,360354,4,6,5,2
43.1109,-77.7876,360355,1,1,6,1
43.1234,-74.0890,360356,2,21,6,1
40.9477,-72.9197,360357,2,29,5,1
40.8639,-73.9178,360358,2,16,6,1
41.2007,-73.7094,360359,2,12,5,1
42.1664,-73.8630,360360,1,17,6,1
40.7267,-73.4895,360361,1,18,6,1
99.9999,999.9999,360362,1,17,6,1
43.4825,-73.7547,360363,2,19,6,1
40.6835,-73.9539,360364,1,19,6,1
44.5633,-74.8817,360365,1,21,6,1
40.6501,-73.9606,360366,1,22,6,1
42.2522,-73.9066,360367,2,17,5,1
42.0565,-75.2538,360368,1,24,5,1
41.106,-73.8602,360369,1,4,3,1
43.1576,-77.6595,360370,2,22,6,1
40.9168,-73.7852,360371,1,28,4,1
43.1156,-77.7289,360372,1,8,6,1
40.6699,-73.9393,360373,2,23,6,1
40.6377,-74.0760,360374,2,24,6,1
41.1156,-74.1526,360375,1,15,5,1
42.9598,-74.1859,360376,2,13,4,1
40.8240,-73.8748,360377,1,20,6,1
44.5339,-75.6626,360378,1,21,6,1
42.0749,-79.4790,360379,2,24,6,1
40.7602,-73.9619,360380,2,27,6,1
43.1952,-73.3244,360381,2,27,6,1
42.0129,-73.9970,360382,2,25,6,1
40.8997,-73.8971,360383,1,31,5,1
40.6563,-73.6068,360384,2,27,6,1
40.8434,-72.6454,360385,1,24,6,1
42.9440,-76.4481,360386,2,24,6,1
40.7812,-73.9179,360387,1,27,6,1
42.0739,-76.8021,360388,1,27,6,1
40.8771,-73.9090,360389,4,28,6,1
40.6641,-73.9448,360390,1,29,6,1
40.8328,-73.9420,360391,3,29,6,1
42.9112,-76.1174,360392,2,8,5,1
40.6934,-73.7560,360393,2,28,6,1
43.1425,-79.0391,360394,3,29,6,1
40.6541,-73.8870,360395,2,1,7,1
40.7448,-73.7662,360396,2,1,7,3
42.9485,-78.6770,360397,1,1,7,1
43.3477,-78.5751,360398,2,30,6,1
40.6962,-73.9340,360399,1,2,7,1
44.3551,-75.8066,360400,1,2,7,1
99.9999,999.9999,360401,1,30,6,1
42.0772,-76.7910,360402,1,3,7,1
43.1918,-77.6001,360403,4,6,7,1
41.1491,-74.1997,360404,2,18,5,1
40.8723,-73.8245,360405,1,6,7,1
42.7727,-78.5524,360406,2,7,7,1
42.7155,-78.4178,360407,1,8,7,1
40.8903,-73.8865,360408,1,8,7,1
40.8090,-73.1975,360409,2,8,7,1
99.9999,999.9999,360410,1,6,7,1
41.7806,-74.9309,360411,1,8,7,1
40.6663,-73.9156,360412,1,9,7,1
42.2542,-73.7547,360413,1,9,7,1
40.6679,-73.7758,360414,1,12,7,1
42.8137,-73.9446,360415,1,18,7,2
40.7476,-73.5876,360416,1,11,7,1
40.6831,-73.9790,360417,3,13,7,1
42.8950,-78.8062,360418,1,13,6,1
43.0388,-77.3059,360419,1,23,5,1
40.7197,-73.2667,360420,1,18,4,1
40.7379,-73.2868,360421,1,3,5,1
41.0533,-73.7818,360422,1,9,6,1
40.7696,-73.0533,360423,1,14,6,1
40.7160,-73.9955,360424,1,17,7,1
42.9380,-76.5559,360425,2,6,7,1
43.3395,-77.8099,360426,2,11,7,1
