LATITUDE,LONGITUD,ST_CASE,VE_TOTAL,DAY,MONTH,FATALS
40.7846,-74.9581,340253,2,12,7,1
39.6741,-74.9428,340254,1,7,8,1
39.9508,-74.7579,340255,1,2,8,1
39.7100,-75.1236,340256,1,8,7,1
39.5359,-74.9816,340257,2,5,7,1
40.0886,-74.0874,340258,1,1,8,1
39.4443,-74.5260,340259,1,31,8,1
39.7745,-74.8238,340260,1,2,8,1
40.7691,-74.0242,340261,1,28,7,1
41.1073,-74.1806,340262,1,10,7,1
40.6503,-74.1954,340263,2,4,7,1
39.8241,-75.1041,340264,1,11,9,1
39.6551,-74.5163,340265,1,23,9,1
40.8384,-74.2645,340266,1,21,9,2
40.5597,-74.4224,340267,2,16,9,2
39.0944,-74.7239,340268,1,25,8,1
40.8885,-74.5218,340269,1,2,9,1
39.8868,-74.2941,340270,1,20,9,1
39.7046,-74.9494,340271,2,6,9,1
39.9155,-74.8246,340272,1,12,7,1
41.2088,-74.7209,340273,1,18,9,1
40.7148,-74.2363,340274,1,16,8,1
40.4121,-74.0483,340275,1,7,7,1
40.2187,-74.0517,340276,1,25,8,1
39.8562,-74.2027,340277,1,5,7,1
39.3984,-75.0328,340279,2,21,9,1
40.7087,-74.2288,340280,1,3,9,1
40.6516,-74.2432,340281,1,3,2,1
39.9269,-74.7421,340283,1,27,8,2
39.7509,-75.1384,340284,1,9,8,1
39.4353,-75.0408,340285,1,29,8,1
40.6187,-74.2648,340286,2,17,5,1
40.1568,-74.0996,340287,1,18,8,1
40.7590,-74.1691,340288,1,3,6,1
40.7737,-74.2336,340289,2,8,7,1
40.8124,-74.1834,340290,1,5,9,2
40.7368,-74.1990,340291,1,11,9,1
40.5815,-74.4922,340292,3,11,9,1
99.9999,999.9999,340293,1,2,9,1
40.2439,-74.2807,340294,1,14,8,1
40.8295,-74.1854,340295,1,12,10,1
40.7424,-74.2140,340296,1,9,10,1
40.8049,-74.1629,340297,1,18,2,1
41.1892,-74.3908,340298,1,2,10,1
40.6774,-74.1970,340299,1,26,6,1
40.0248,-74.2719,340300,1,17,10,1
39.6394,-74.3701,340301,1,19,10,1
40.7362,-74.1668,340302,1,28,7,1
40.6693,-74.2157,340303,1,5,1,1
40.8950,-74.2475,340304,1,10,5,1
40.6981,-74.4022,340305,1,24,5,1
40.6317,-74.4302,340306,3,6,4,1
40.7980,-74.2667,340307,4,24,7,1
39.3566,-74.9195,340308,3,25,7,1
39.6911,-74.9916,340309,2,25,7,1
40.6699,-74.1840,340310,2,18,7,1
40.3579,-74.6127,340311,2,7,8,1
40.4787,-74.5791,340312,1,1,8,1
39.8660,-74.4702,340313,1,22,8,1
40.2765,-74.0172,340314,1,21,8,1
39.9153,-74.5481,340315,1,16,8,1
40.2538,-74.3682,340316,1,25,8,1
40.0426,-74.2323,340317,2,5,8,1
40.9284,-74.1129,340318,1,25,7,1
40.1290,-74.2751,340319,2,24,7,1
